lead_id,lead_name,lead_title,company_name,industry,company_size,lead_score,similar_customers
LEAD_596611,Prospect 596611,Unemployed,Unknown,Finance Management,100,100.0,"1. Finance Management (Working Professional) - Converted via Google with Moderate Engagement (9 mins) (Match: 100.0%).
2. Finance Management (Working Professional) - Converted via Reference with No Site Engagement (Match: 100.0%)."
LEAD_627043,Prospect 627043,Unknown,Unknown,International Business,100,100.0,"1. International Business (Unemployed) - Converted via Facebook with No Site Engagement (Match: 100.0%).
2. International Business (Unemployed) - Converted via Direct Traffic with Moderate Engagement (8 mins) (Match: 100.0%)."
LEAD_592888,Prospect 592888,Unemployed,Unknown,International Business,100,100.0,"1. International Business (Unemployed) - Converted via Facebook with No Site Engagement (Match: 100.0%).
2. International Business (Unemployed) - Converted via Direct Traffic with Moderate Engagement (8 mins) (Match: 100.0%)."
LEAD_586145,Prospect 586145,Unknown,Unknown,Finance Management,100,100.0,"1. Finance Management (Working Professional) - Converted via Google with Moderate Engagement (9 mins) (Match: 100.0%).
2. Finance Management (Working Professional) - Converted via Reference with No Site Engagement (Match: 100.0%)."
LEAD_621464,Prospect 621464,Unemployed,Unknown,Supply Chain Management,100,100.0,"1. Supply Chain Management (Unemployed) - Converted via Google with High Engagement (18 mins) (Match: 100.0%).
2. Supply Chain Management (Working Professional) - Converted via Direct Traffic with Moderate Engagement (8 mins) (Match: 100.0%)."
LEAD_627490,Prospect 627490,Unknown,Unknown,Media and Advertising,100,100.0,"1. Media and Advertising (Unknown) - Converted via Organic Search with Moderate Engagement (7 mins) (Match: 100.0%).
2. Media and Advertising (Unemployed) - Converted via Google with Moderate Engagement (4 mins) (Match: 100.0%)."
LEAD_600908,Prospect 600908,Unemployed,Unknown,Operations Management,100,100.0,"1. Operations Management (Unemployed) - Converted via Reference with No Site Engagement (Match: 100.0%).
2. Operations Management (Unemployed) - Converted via Google with High Engagement (15 mins) (Match: 100.0%)."
LEAD_591415,Prospect 591415,Unemployed,Unknown,IT Projects Management,100,100.0,"1. IT Projects Management (Unemployed) - Converted via Google with High Engagement (33 mins) (Match: 100.0%).
2. IT Projects Management (Unknown) - Converted via Google with High Engagement (18 mins) (Match: 100.0%)."
LEAD_595151,Prospect 595151,Unemployed,Unknown,International Business,100,100.0,"1. International Business (Unemployed) - Converted via Facebook with No Site Engagement (Match: 100.0%).
2. International Business (Unemployed) - Converted via Direct Traffic with Moderate Engagement (8 mins) (Match: 100.0%)."
LEAD_653848,Prospect 653848,Unknown,Unknown,Marketing Management,100,100.0,"1. Marketing Management (Unemployed) - Converted via Google with Moderate Engagement (8 mins) (Match: 100.0%).
2. Marketing Management (Unemployed) - Converted via Direct Traffic with High Engagement (24 mins) (Match: 100.0%)."
LEAD_645378,Prospect 645378,Unemployed,Unknown,IT Projects Management,100,100.0,"1. IT Projects Management (Unemployed) - Converted via Google with High Engagement (33 mins) (Match: 100.0%).
2. IT Projects Management (Unknown) - Converted via Google with High Engagement (18 mins) (Match: 100.0%)."
LEAD_620405,Prospect 620405,Unemployed,Unknown,Media and Advertising,100,100.0,"1. Media and Advertising (Unknown) - Converted via Organic Search with Moderate Engagement (7 mins) (Match: 100.0%).
2. Media and Advertising (Unemployed) - Converted via Google with Moderate Engagement (4 mins) (Match: 100.0%)."
LEAD_656621,Prospect 656621,Unemployed,Unknown,Human Resource Management,100,100.0,"1. Human Resource Management (Unemployed) - Converted via Facebook with No Site Engagement (Match: 100.0%).
2. Human Resource Management (Unemployed) - Converted via Direct Traffic with High Engagement (25 mins) (Match: 100.0%)."
LEAD_581353,Prospect 581353,Unknown,Unknown,Media and Advertising,100,100.0,"1. Media and Advertising (Unknown) - Converted via Organic Search with Moderate Engagement (7 mins) (Match: 100.0%).
2. Media and Advertising (Unemployed) - Converted via Google with Moderate Engagement (4 mins) (Match: 100.0%)."
LEAD_641546,Prospect 641546,Unemployed,Unknown,Finance Management,100,100.0,"1. Finance Management (Working Professional) - Converted via Google with Moderate Engagement (9 mins) (Match: 100.0%).
2. Finance Management (Working Professional) - Converted via Reference with No Site Engagement (Match: 100.0%)."
LEAD_657754,Prospect 657754,Unknown,Unknown,Operations Management,100,100.0,"1. Operations Management (Unemployed) - Converted via Reference with No Site Engagement (Match: 100.0%).
2. Operations Management (Unemployed) - Converted via Google with High Engagement (15 mins) (Match: 100.0%)."
LEAD_631453,Prospect 631453,Unknown,Unknown,IT Projects Management,100,100.0,"1. IT Projects Management (Unemployed) - Converted via Google with High Engagement (33 mins) (Match: 100.0%).
2. IT Projects Management (Unknown) - Converted via Google with High Engagement (18 mins) (Match: 100.0%)."
LEAD_589457,Prospect 589457,Student,Unknown,"Banking, Investment And Insurance",100,100.0,"1. Banking, Investment And Insurance (Unknown) - Converted via Direct Traffic with High Engagement (11 mins) (Match: 100.0%).
2. Banking, Investment And Insurance (Unemployed) - Converted via Direct Traffic with High Engagement (11 mins) (Match: 100.0%)."
LEAD_624960,Prospect 624960,Unknown,Unknown,Human Resource Management,100,100.0,"1. Human Resource Management (Unemployed) - Converted via Facebook with No Site Engagement (Match: 100.0%).
2. Human Resource Management (Unemployed) - Converted via Direct Traffic with High Engagement (25 mins) (Match: 100.0%)."
LEAD_587973,Prospect 587973,Unemployed,Unknown,Marketing Management,100,100.0,"1. Marketing Management (Unemployed) - Converted via Google with Moderate Engagement (8 mins) (Match: 100.0%).
2. Marketing Management (Unemployed) - Converted via Direct Traffic with High Engagement (24 mins) (Match: 100.0%)."
LEAD_635706,Prospect 635706,Unknown,Unknown,Finance Management,100,100.0,"1. Finance Management (Working Professional) - Converted via Google with Moderate Engagement (9 mins) (Match: 100.0%).
2. Finance Management (Working Professional) - Converted via Reference with No Site Engagement (Match: 100.0%)."
LEAD_627535,Prospect 627535,Unknown,Unknown,Unknown,100,99.66,"1. Unknown (Unknown) - Converted via Google with High Engagement (14 mins) (Match: 99.7%).
2. Unknown (Unknown) - Converted via Google with High Engagement (22 mins) (Match: 99.6%)."
LEAD_613614,Prospect 613614,Unemployed,Unknown,Unknown,100,99.65,"1. Unknown (Unemployed) - Converted via Organic Search with High Engagement (10 mins) (Match: 99.6%).
2. Unknown (Unemployed) - Converted via Organic Search with High Engagement (22 mins) (Match: 99.6%)."
LEAD_632342,Prospect 632342,Unknown,Unknown,Unknown,100,99.5,"1. Unknown (Unknown) - Converted via Google with High Engagement (14 mins) (Match: 99.5%).
2. Unknown (Unknown) - Converted via Google with High Engagement (22 mins) (Match: 99.4%)."
LEAD_660030,Prospect 660030,Unemployed,Unknown,Unknown,100,99.49,"1. Unknown (Unemployed) - Converted via Organic Search with High Engagement (10 mins) (Match: 99.5%).
2. Unknown (Unemployed) - Converted via Organic Search with High Engagement (22 mins) (Match: 99.3%)."
LEAD_601060,Prospect 601060,Unemployed,Unknown,Unknown,100,99.49,"1. Unknown (Unemployed) - Converted via Organic Search with High Engagement (10 mins) (Match: 99.5%).
2. Unknown (Unemployed) - Converted via Organic Search with High Engagement (22 mins) (Match: 99.3%)."
LEAD_647649,Prospect 647649,Unemployed,Unknown,Unknown,100,99.47,"1. Unknown (Unemployed) - Converted via Organic Search with High Engagement (10 mins) (Match: 99.5%).
2. Unknown (Unemployed) - Converted via Organic Search with High Engagement (28 mins) (Match: 99.4%)."
LEAD_659407,Prospect 659407,Unknown,Unknown,Unknown,100,99.46,"1. Unknown (Unknown) - Converted via Organic Search with High Engagement (20 mins) (Match: 99.5%).
2. Unknown (Unknown) - Converted via Organic Search with High Engagement (20 mins) (Match: 99.5%)."
LEAD_641124,Prospect 641124,Unemployed,Unknown,Unknown,100,99.44,"1. Unknown (Unemployed) - Converted via Google with Moderate Engagement (6 mins) (Match: 99.4%).
2. Unknown (Unemployed) - Converted via Google with High Engagement (24 mins) (Match: 99.3%)."
LEAD_653279,Prospect 653279,Unknown,Unknown,Unknown,100,99.43,"1. Unknown (Unknown) - Converted via Google with High Engagement (14 mins) (Match: 99.4%).
2. Unknown (Unknown) - Converted via Google with High Engagement (22 mins) (Match: 99.3%)."
LEAD_635724,Prospect 635724,Unknown,Unknown,Unknown,100,99.43,"1. Unknown (Unknown) - Converted via Google with High Engagement (14 mins) (Match: 99.4%).
2. Unknown (Unknown) - Converted via Google with High Engagement (22 mins) (Match: 99.3%)."
LEAD_610872,Prospect 610872,Unknown,Unknown,Unknown,100,98.58,"1. Unknown (Unknown) - Converted via Olark Chat with No Site Engagement (Match: 98.6%).
2. Unknown (Unknown) - Converted via Olark Chat with No Site Engagement (Match: 98.6%)."
LEAD_590195,Prospect 590195,Student,Unknown,Unknown,100,98.55,"1. Unknown (Unemployed) - Converted via Olark Chat with No Site Engagement (Match: 98.5%).
2. Unknown (Unemployed) - Converted via Olark Chat with No Site Engagement (Match: 98.5%)."
LEAD_635626,Prospect 635626,Unknown,Unknown,Unknown,100,97.37,"1. Unknown (Unknown) - Converted via Organic Search with High Engagement (20 mins) (Match: 97.4%).
2. Unknown (Unknown) - Converted via Organic Search with High Engagement (20 mins) (Match: 97.4%)."
LEAD_656493,Prospect 656493,Unknown,Unknown,Unknown,100,96.73,"1. Unknown (Unknown) - Converted via Organic Search with High Engagement (20 mins) (Match: 96.7%).
2. Unknown (Unknown) - Converted via Organic Search with High Engagement (20 mins) (Match: 96.7%)."
LEAD_650591,Prospect 650591,Unknown,Unknown,Unknown,100,95.48,"1. Unknown (Unknown) - Converted via Organic Search with High Engagement (19 mins) (Match: 95.5%).
2. Unknown (Unknown) - Converted via Organic Search with High Engagement (17 mins) (Match: 95.5%)."
LEAD_647977,Prospect 647977,Unknown,Unknown,Unknown,100,93.74,"1. Unknown (Unemployed) - Converted via Reference with Moderate Engagement (3 mins) (Match: 93.7%).
2. Unknown (Unknown) - Converted via Organic Search with High Engagement (19 mins) (Match: 92.7%)."
